Vitel Mobile Inc,,,,,,,,,,,,,,,,
Inventory Valuation Summary,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
,Part #,Description,,,Asset Account,,,,,Qty,, ,,Unit Cost,Asset Value,
,HY D275BKS,HYUNDAI D275 BLACK SS,,,Default,,,,,2,,ea,,$ 11.42,$ 22.85,
,HY D275DBKDS,HYUNDAI D275D BLACK DS,,,Default,,,,,7,,ea,,$ 11.50,$ 80.51,
,HY D275DWHDS,HYUNDAI D275D WHITE DS,,,Default,,,,,2,,ea,,$ 11.51,$ 23.01,
,HY D275GDS,HYUNDAI D275 GOLD SS,,,Default,,,,,1,,ea,,$ 12.50,$ 12.50,
,HY D275WHS,HYUNDAI D275 WHITE SS,,,Default,,,,,10,,ea,,$ 11.39,$ 113.89,
,HY D350BKD,HYUNDAI VIBE BLACK DS,,,Default,,,,,1,,ea,,$ 0.00,$ 0.00,
,HY D350WHBLDSS,HYUNDAI VIBE WHITE/BLUE DS SEEDSTOCK,,,Default,,,,,1,,ea,,$ 35.00,$ 35.00,
,HY E245SBKS,HYUNDAI E245S BLACK SS,,,Default,,,,,1,,ea,,$ 19.00,$ 19.00,
,HY E245SWHS,HYUNDAI E245S WHITE SS,,,Default,,,,,1,,ea,,$ 19.00,$ 19.00,
,HY E275BKDS,HYUNDAI E275 BLACK DS,,,Default,,,,,1,,ea,,$ 18.00,$ 18.00,
,HY E415BKD,HYUNDAI ONYX BLACK DS,,,Default,,,,,1,,ea,,$ 0.00,$ 0.00,
,HY E425BLD,HYUNDAI E425 BLUE DS,,,Default,,,,,2,,ea,,$ 58.08,$ 116.16,
,HY E435BKD,HYUNDAI E435 BLACK DS,,,Default,,,,,33,,ea,,$ 35.99,"$ 1,187.66",
,HY E435BKDSS,HYUNDAI E435 BLACK SEEDSTOCK,,,Default,,,,,1,,ea,,$ 24.60,$ 24.60,
,HY E435BLD,HYUNDAI E435 BLUE DS,,,Default,,,,,34,,ea,,$ 6.18,$ 210.00,
,HY E435GDD,HYUNDAI E435 GOLD DS,,,Default,,,,,42,,ea,,$ 35.87,"$ 1,506.58",
,HY E435LTBKD,HYUNDAI E435 LITE BLACK DS,,,Default,,,,,82,,ea,,$ 28.50,"$ 2,337.00",
,HY E435LTGDD,HYUNDAI E435 LITE GOLD DS,,,Default,,,,,84,,ea,,$ 28.50,"$ 2,394.00",
,HY E435LTGRD,HYUNDAI E435 LITE GRAY DS,,,Default,,,,,24,,ea,,$ 28.50,$ 684.00,
,HY E435LTWHD,HYUNDAI E435 LITE WHITE DS,,,Default,,,,,47,,ea,,$ 28.50,"$ 1,339.50",
,HY E435PLBKD,HYUNDAI E435 PLUS BLACK DS,,,Default,,,,,17,,ea,,$ 33.00,$ 561.00,
,HY E435PLGDD,HYUNDAI E435 PLUS GOLD DS,,,Default,,,,,9,,ea,,$ 33.00,$ 297.00,
,HY E435PLGRD,HYUNDAI E435 PLUS GRAY DS,,,Default,,,,,13,,ea,,$ 33.00,$ 429.00,
,HY E435PLWHD,HYUNDAI E435 PLUS WHITE DS,,,Default,,,,,4,,ea,,$ 33.00,$ 132.00,
,HY E435WHD,HYUNDAI E435 WHITE DS,,,Default,,,,,38,,ea,,$ 36.00,"$ 1,368.00",
,HY E435WHDSS,HYUNDAI E435 WHITE SEEDSTOCK,,,Default,,,,,13,,ea,,$ 25.41,$ 330.33,
,HY E465GOBKDS,HYUNDAI E465 GO BLACK DS,,,Default,,,,,34,,ea,,$ 29.00,$ 986.00,
,HY E465GOBLDS,HYUNDAI E465 GO BLUE DS,,,Default,,,,,18,,ea,,$ 29.00,$ 522.00,
,HY E465GOGDDS,HYUNDAI E465 GO GOLD DS,,,Default,,,,,22,,ea,,$ 29.00,$ 638.00,
,HY E465GOWHDS,HYUNDAI E465 GO WHITE DS,,,Default,,,,,11,,ea,,$ 29.00,$ 319.00,
,HY E500BKD,HYUNDAI E500 BLACK DS,,,Default,,,,,47,,ea,,$ 46.50,"$ 2,185.50",
,HY E500GDD,HYUNDAI E500 GOLD DS,,,Default,,,,,26,,ea,,$ 46.50,"$ 1,209.00",
,HY E500WHD,HYUNDAI E500 WHITE DS,,,Default,,,,,23,,ea,,$ 46.50,"$ 1,069.50",
,HY E501BKDS,HYUNDAI E501 BLACK DS,,,Default,,,,,65,,ea,,$ 37.50,"$ 2,437.50",
,HY E501GDDS,HYUNDAI E501 GOLD DS,,,Default,,,,,44,,ea,,$ 37.50,"$ 1,650.00",
,HY E501SLDS,HYUNDAI E501 SILVER DS,,,Default,,,,,2,,ea,,$ 37.50,$ 75.00,
,HY E502BKDS,HYUNDAI E502 BLACK DS,,,Default,,,,,26,,ea,,$ 48.00,"$ 1,248.00",
