Vitel Mobile Inc,,,,,,,,,,,,,,,,
Inventory Valuation Summary,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
,Part #,Description,,,Asset Account,,,,,Qty,, ,,Unit Cost,Asset Value,
,SM J120AAWHES,SAMSUNG GALAXY J1 ACE WHITE (AT&T),,,Default,,,,,4,,ea,,$ 69.95,$ 279.81,
,SM X205NZAM,SAMSUNG GALAXY TAB A8 LTE 64GB GRAY,,,Default,,,,,1,,ea,,$ 225.44,$ 225.44,
,SP HY D245NFHBK,HYUNDAI D245N FRONT HOUSING BLACK,,,Default,,,,,70,,ea,,$ 0.44,$ 30.80,
,SP HY D245NFHWH,HYUNDAI D245N FRONT HOUSING WHITE,,,Default,,,,,15,,ea,,$ 0.04,$ 0.66,
,SP HY E435/E435LTPCB,HYUNDAI E435/E435 LITE PHONE CASE (HARD),,,Default,,,,,"4,988",,ea,,$ 0.73,"$ 3,621.47",
,SP HY E502/L502PC,HYUNDAI E502/L502 PHONE CASE,,,Default,,,,,"1,098",,ea,,$ 1.50,"$ 1,647.00",
,SP HY E551/E551LTPCA,HYUNDAI E551/E551 LITE PHONE CASE (SOFT),,,Default,,,,,902,,ea,,$ 1.42,"$ 1,276.97",
,SP HY L551/E551PCB,HYUNDAI L551/E551 PHONE CASE (HARD),,,Default,,,,,"4,999",,ea,,$ 0.68,"$ 3,399.32",
,SP HY L622BAT,HYUNDAI L622 BATTERY,,,Default,,,,,24,,ea,,$ 4.67,$ 112.05,
,SP HY L651ANT,HYUNDAI L651 DIVERSITY ANTENNA,,,Default,,,,,38,,ea,,$ 0.08,$ 3.04,
,SP HY L651FGGN,HYUNDAI L651 FINGERPRINT GREEN,,,Default,,,,,1,,ea,,$ 1.26,$ 1.26,
,ST A102KR,SAMSUNG GALAXY A10e,,,Default,,,,,1,,ea,,$ 64.50,$ 64.50,
,ST A217MZBKGTO,SAMSUNG GALAXY A21 64GB BLUE DS,,,Default,,,,,1,,ea,,$ 155.00,$ 155.00,
,ST A305KR,SAMSUNG GALAXY A30,,,Default,,,,,1,,ea,,$ 64.50,$ 64.50,
,ST A315KR,SAMSUNG GALAXY A31,,,Default,,,,,1,,ea,,$ 64.50,$ 64.50,
,ST A530KR,SAMSUNG GALAXY A8 2018,,,Default,,,,,1,,ea,,$ 64.50,$ 64.50,
,ST AC R180BK,SAMSUNG BUDS LIVE BLACK,,,Default,,,,,1,,ea,,$ 71.00,$ 71.00,
,ST AC R180BRZ,SAMSUNG BUDS LIVE BRONZE,,,Default,,,,,1,,ea,,$ 71.00,$ 71.00,
,TYVEK SUIT-A1-175,TYVEK SUIT 175CM,,,Default,,,,,39,,ea,,$ 17.20,$ 670.73,
,W SM R400NZAALTA,SAMSUNG GALAXY BUDS FE GRAPHITE,,,Default,,,,,1,,ea,,$ 39.00,$ 39.00,
,W SM R510NZWALTA,SAMSUNG GALAXY BUDS 2 PRO WHITE,,,Default,,,,,1,,ea,,$ 85.00,$ 85.00,
,XI RDMA2+64BK,XIAOMI REDMI A2+ 3/64GB BLACK,,,Default,,,,,1,,ea,,$ 61.00,$ 61.00,
,,,,,,,,,,,,,Location Total:,,"$ 94,667.49",
,,,,,,,,,,,,Location Group Total:,,,"$ 193,187.48",
Hyundai,,,,,,,,,,,,,,,,
Stock,,,,,,,,,,,,,,,,
,AC SD32GB,32GB Memory Card,,,Default,,,,,"9,037",,ea,,$ 0.26,"$ 2,306.87",
,AC SD64GB,64GB Memory Card,,,Default,,,,,6,,ea,,$ 2.00,$ 12.00,
,HY E475GDDS,HYUNDAI E475 GOLD DS,,,Default,,,,,1,,ea,,$ 30.07,$ 30.07,
,HY L1ERBBK,HYUNDAI EARBUDS L1 BLACK,,,Default,,,,,"3,527",,ea,,$ 2.65,"$ 9,346.57",
,HY L1ERBWH,HYUNDAI EARBUDS L1 WHITE,,,Default,,,,,"3,489",,ea,,$ 2.65,"$ 9,245.85",
,HY L285BL,HYUNDAI L285 BLUE,,,Default,,,,,1,,ea,,$ 12.85,$ 12.85,
,HY L285GN,HYUNDAI L285 GREEN,,,Default,,,,,2,,ea,,$ 12.85,$ 25.70,
,HY L622OGN,HYUNDAI L622 OLIVE GREEN,,,Default,,,,,2,,ea,,$ 75.00,$ 150.00,
,HY M1ERBWH,HYUNDAI EARBUDS M1 WHITE,,,Default,,,,,531,,ea,,$ 7.30,"$ 3,878.93",
,,,,,,,,,,,,,Location Total:,,"$ 25,008.85",
,,,,,,,,,,,,Location Group Total:,,,"$ 25,008.85",
Hyundai Parts and Accesories,,,,,,,,,,,,,,,,
Stock,,,,,,,,,,,,,,,,
,AC HY 465PCBLK,HYUNDAI 465 PROTECTIVE PHONE CASE BULK PACKED,,,Default,,,,,"6,120",,ea,,$ 0.79,"$ 4,834.80",
,AC HY 503APCBLK,HYUNDAI 503A PROTECTIVE PHONE CASE BULK PACKED,,,Default,,,,,195,,ea,,$ 0.79,$ 154.05,
,AC HY 503APCRTL,HYUNDAI 503A PROTECTIVE PHONE CASE RETAIL PACKED,,,Default,,,,,"1,943",,ea,,$ 1.79,"$ 3,477.97",
,AC HY 503BPCBLK,HYUNDAI 503B PROTECTIVE CASE PHONE BULK PACKED,,,Default,,,,,"2,603",,ea,,$ 1.19,"$ 3,097.57",
,AC HY 503BPCRTL,HYUNDAI 503B PROTECTIVE PHONE CASE RETAIL PACKED,,,Default,,,,,"2,000",,ea,,$ 2.19,"$ 4,380.00",
,AC HY 601FPCBLK,HYUNDAI 601F PROTECTIVE PHONE CASE BULK PACKED,,,Default,,,,,"2,978",,ea,,$ 1.19,"$ 3,543.82",
,AC HY 601FPCRTL,HYUNDAI 601F PROTECTIVE PHONE CASE RETAIL PACKED,,,Default,,,,,"2,000",,ea,,$ 2.19,"$ 4,380.00",
,AC HY D255CHG,HYUNDAI D255 CHARGER,,,Default,,,,,"10,509",,ea,,$ 0.47,"$ 4,939.23",
,AC HY E553CLVCV,HYUNDAI E553 CLEAR VIEW COVER,,,Default,,,,,"10,123",,ea,,$ 0.22,"$ 2,227.06",
,AC HY L565HC,HYUNDAI L565 CASE (HARD PACKAGE),,,Default,,,,,"1,767",,ea,,$ 0.82,"$ 1,448.94",
,AC HY L565SC,HYUNDAI L565 CASE (SOFT PACKAGE),,,Default,,,,,"1,551",,ea,,$ 0.21,$ 325.71,
,AC HY L622PC,HYUNDAI L622 PHONE CASE,,,Default,,,,,"5,000",,ea,,$ 1.00,"$ 5,000.00",
,AC HY MR-10000WBK,HYUNDAI RAZOR WIRELESS POWERBANK 10000mAh BLACK,,,Default,,,,,3,,ea,,$ 20.68,$ 62.04,
,AC HY MR-10000WGD,HYUNDAI RAZOR WIRELESS POWERBANK 10000mAh GOLD,,,Default,,,,,2,,ea,,$ 20.68,$ 41.36,
,AC HY MR-8000CGD,HYUNDAI RAZOR POWERBANK 8000mAh GOLD,,,Default,,,,,3,,ea,,$ 12.32,$ 36.96,
,AC HY MR-8000CWH,HYUNDAI RAZOR POWERBANK 8000mAh WHITE,,,Default,,,,,12,,ea,,$ 12.32,$ 147.84,
,AC HY PNSTNBLK,HYUNDAI PHONE STAND BULK PACKED,,,Default,,,,,650,,ea,,$ 0.79,$ 513.50,
,AC HY RBS-F1BK,HYUNDAI DIAMOND BT SPEAKER BLACK,,,Default,,,,,9,,ea,,$ 14.19,$ 127.71,
,AC HY RBS-F1WH,HYUNDAI DIAMOND BT SPEAKER WHITE,,,Default,,,,,26,,ea,,$ 14.19,$ 368.94,
,AC HY RCM-C100WH,HYUNDAI VAJRA MICRO INTERFACE 2.4 OUTPUT DATA CABLE WHITE,,,Default,,,,,6,,ea,,$ 1.80,$ 10.80,
,AC HY REB-I01RD,HYUNDAI TORNADO SPORTS BT EARPHONE RED,,,Default,,,,,4,,ea,,$ 12.76,$ 51.04,
,AC HY REB-I01WH,HYUNDAI TORNADO SPORTS BT EARPHONE WHITE,,,Default,,,,,4,,ea,,$ 12.76,$ 51.04,
,AC HY RL-10000WBK,HYUNDAI LUSTRE WIRELESS POWERBANK 10000mAh BLACK,,,Default,,,,,5,,ea,,$ 15.62,$ 78.10,
,AC HY RL-10000WRD,HYUNDAI LUSTRE WIRELESS POWERBANK 10000mAh RED,,,Default,,,,,4,,ea,,$ 15.62,$ 62.48,
,AC HY RUC-5002GN,HYUNDAI RUC-5002 ADAPTER GREEN,,,Default,,,,,3,,ea,,$ 3.00,$ 9.00,
,AC HY RUC-5002WH,HYUNDAI RUC-5002 ADAPTER WHITE,,,Default,,,,,2,,ea,,$ 3.00,$ 6.00,
,AC HY RUC-5003WH,HYUNDAI RUC5003 ADAPTER WHITE,,,Default,,,,,8,,ea,,$ 3.30,$ 26.40,
,AC SD64GB,64GB Memory Card,,,Default,,,,,118,,ea,,$ 2.00,$ 236.09,
,HY L565BKSLD,HYUNDAI UNO BLACK/SILVER DS,,,Default,,,,,862,,ea,,$ 147.92,"$ 127,507.04",
,HY L565WHRSGDD,HYUNDAI UNO WHITE/ROSE/GOLD DS,,,Default,,,,,641,,ea,,$ 148.36,"$ 95,096.04",
,HY L575BKD,HYUNDAI PRIVE BLACK DS,,,Default,,,,,35,,ea,,$ 255.46,"$ 8,941.18",
,HY L575WHD,HYUNDAI PRIVE WHITE DS,,,Default,,,,,229,,ea,,$ 252.82,"$ 57,894.67",
,SP HY D205IBC,HYUNDAI D205i BACK CAMERA,,,Default,,,,,148,,ea,,$ 0.42,$ 62.16,
,SP HY D205IRCV,HYUNDAI D205i RECEIVER,,,Default,,,,,134,,ea,,$ 0.17,$ 22.78,
,SP HY D205ISPK,HYUNDAI D205i SPEAKER,,,Default,,,,,17,,ea,,$ 0.23,$ 3.91,
,SP HY D205IVB,HYUNDAI D205i VIBRATOR,,,Default,,,,,165,,ea,,$ 0.30,$ 49.50,
,SP HY D205MIC,HYUNDAI D205 MIC,,,Default,,,,,152,,ea,,$ 0.13,$ 19.76,
,SP HY D205SPK,HYUNDAI D205 SPEAKER,,,Default,,,,,150,,ea,,$ 0.23,$ 34.50,
,SP HY D245BAT,HYUNDAI D245 BATTERY,,,Default,,,,,"1,865",,ea,,$ 2.05,"$ 3,831.31",
,SP HY D245CAM,HYUNDAI D245 CAMERA,,,Default,,,,,124,,ea,,$ 0.50,$ 62.00,
,SP HY D245LCD,HYUNDAI D245 LCD,,,Default,,,,,8,,ea,,$ 1.20,$ 9.60,
,SP HY D245LENSBK,HYUNDAI D245 LENS BLACK,,,Default,,,,,115,,ea,,$ 0.15,$ 17.25,
,SP HY D245LENSWHSL,HYUNDAI D245 LENS WHITE/SILVER,,,Default,,,,,115,,ea,,$ 0.15,$ 17.25,
,SP HY D245MOT,HYUNDAI D245 MOTOR,,,Default,,,,,150,,ea,,$ 0.25,$ 37.50,
,SP HY D245NRCV,HYUNDAI D245N RECEIVER,,,Default,,,,,290,,ea,,$ 0.08,$ 23.20,
,SP HY D245PCBA,HYUNDAI D245 PCBA,,,Default,,,,,19,,ea,,$ 4.40,$ 83.60,
,SP HY D245RCV,HYUNDAI D245 RECEIVER,,,Default,,,,,75,,ea,,$ 0.20,$ 15.00,
,SP HY D245SCAM,HYUNDAI D245S CAMERA,,,Default,,,,,195,,ea,,$ 0.50,$ 97.50,
,SP HY D245SLCD,HYUNDAI D245S LCD,,,Default,,,,,175,,ea,,$ 1.20,$ 210.00,
,SP HY D245SLENSWHSL,HYUNDAI D245S LENS WHITE/SILVER,,,Default,,,,,190,,ea,,$ 0.15,$ 28.50,
,SP HY D245SMOT,HYUNDAI D245S MOTOR,,,Default,,,,,195,,ea,,$ 0.25,$ 48.75,
,SP HY D245SPCBA,HYUNDAI D245S PCBA,,,Default,,,,,233,,ea,,$ 4.50,"$ 1,048.50",
,SP HY D245SPK,HYUNDAI D245 SPEAKER,,,Default,,,,,7,,ea,,$ 0.44,$ 3.08,
,SP HY D250LCD,HYUNDAI D250 LCD,,,Default,,,,,195,,ea,,$ 1.20,$ 234.00,
,SP HY D250MIC,HYUNDAI D250 MIC,,,Default,,,,,74,,ea,,$ 0.15,$ 11.10,
,SP HY D250MPCBA,HYUNDAI D250 MAIN PCBA,,,Default,,,,,80,,ea,,$ 4.07,$ 325.60,
,SP HY D250SPK,HYUNDAI D250 SPEAKER,,,Default,,,,,87,,ea,,$ 0.36,$ 31.32,
,SP HY D255ANTCDFB,HYUNDAI D255 ANTENNA CONDUCTIVE FABRIC,,,Default,,,,,"1,000",,ea,,$ 0.03,$ 31.80,
,SP HY D255AWLB,HYUNDAI D255 ANTI-WATER LABEL,,,Default,,,,,"1,000",,ea,,$ 0.01,$ 10.60,
,SP HY D255BAT,HYUNDAI D255 BATTERY,,,Default,,,,,500,,ea,,$ 0.83,$ 415.00,
,SP HY D255BCBK,HYUNDAI D255 BACK COVER BLACK,,,Default,,,,,600,,ea,,$ 0.27,$ 160.00,
,SP HY D255BCLB,HYUNDAI D255 BACK COVER LIGHT BLUE,,,Default,,,,,150,,ea,,$ 0.27,$ 40.00,
,SP HY D255BCWH,HYUNDAI D255 BACK COVER WHITE,,,Default,,,,,350,,ea,,$ 0.26,$ 92.50,
,SP HY D255BHGSMANTBK,HYUNDAI D255 BOTTOM HOUSING WITH GSM ANTENNA BLACK,,,Default,,,,,150,,ea,,$ 0.48,$ 72.00,
,SP HY D255BHGSMANTBL,HYUNDAI D255 BOTTOM HOUSING WITH GSM ANTENNA BLUE,,,Default,,,,,350,,ea,,$ 0.48,$ 166.50,
,SP HY D255BHGSMANTRD,HYUNDAI D255 BOTTOM HOUSING WITH GSM ANTENNA RED,,,Default,,,,,500,,ea,,$ 0.48,$ 238.50,
,SP HY D255BTANT,HYUNDAI D255 BLUETOOTH ANTENNA,,,Default,,,,,"1,000",,ea,,$ 0.01,$ 8.48,
,SP HY D255CMLN,HYUNDAI D255 CAMERA LENS,,,Default,,,,,"1,000",,ea,,$ 0.02,$ 15.90,
,SP HY D255DM,HYUNDAI D255 DOME,,,Default,,,,,"1,000",,ea,,$ 0.06,$ 58.60,
,SP HY D255FC,HYUNDAI D255 FRONT CAMERA,,,Default,,,,,500,,ea,,$ 0.44,$ 220.00,
,SP HY D255FHBK,HYUNDAI D255 FRONT HOUSING BLACK,,,Default,,,,,500,,ea,,$ 0.42,$ 212.00,
,SP HY D255FHLB,HYUNDAI D255 FRONT HOUSING LIGHT BLUE,,,Default,,,,,150,,ea,,$ 0.43,$ 64.00,
,SP HY D255FHWH,HYUNDAI D255 FRONT HOUSING WHITE,,,Default,,,,,350,,ea,,$ 0.42,$ 148.00,
,SP HY D255KP,HYUNDAI D255 KEYPAD,,,Default,,,,,50,,ea,,$ 0.43,$ 21.50,
,SP HY D255KPBK,HYUNDAI D255 KEYPAD BLACK,,,Default,,,,,600,,ea,,$ 0.46,$ 275.20,
,SP HY D255KPWH,HYUNDAI D255 KEYPAD WHITE,,,Default,,,,,350,,ea,,$ 0.45,$ 159.10,
,SP HY D255LCD,HYUNDAI D255 LCD,,,Default,,,,,"1,000",,ea,,$ 1.10,"$ 1,100.00",
,SP HY D255LCDLN,HYUNDAI D255 LCD LENS,,,Default,,,,,"1,000",,ea,,$ 0.16,$ 159.00,
,SP HY D255LEDTCH,HYUNDAI D255 LED TORCH,,,Default,,,,,"1,000",,ea,,$ 0.05,$ 53.00,
,SP HY D255MNPCBA,HYUNDAI D255 MAIN PCBA,,,Default,,,,,500,,ea,,$ 3.19,"$ 1,595.00",
,SP HY D255RCV,HYUNDAI D255 RECEIVER,,,Default,,,,,"1,000",,ea,,$ 0.08,$ 80.00,
,SP HY D255SANTCDFB,HYUNDAI D255S ANTENNA CONDUCTIVE FABRIC,,,Default,,,,,500,,ea,,$ 0.03,$ 15.60,
,SP HY D255SAWLB,HYUNDAI D255S ANTI-WATER LABEL,,,Default,,,,,500,,ea,,$ 0.01,$ 5.20,
,SP HY D255SBAT,HYUNDAI D255S BATTERY,,,Default,,,,,496,,ea,,$ 0.83,$ 410.03,
,SP HY D255SBCBK,HYUNDAI D255S BACK COVER BLACK,,,Default,,,,,150,,ea,,$ 0.25,$ 37.50,
,SP HY D255SBCLB,HYUNDAI D255S BACK COVER LIGHT BLUE,,,Default,,,,,80,,ea,,$ 0.26,$ 20.75,
,SP HY D255SBCWH,HYUNDAI D255S BACK COVER WHITE,,,Default,,,,,170,,ea,,$ 0.26,$ 44.25,
,SP HY D255SBHGSMANTBK,HYUNDAI D255S BOTTOM HOUSING WITH GSM ANTENNA BLACK,,,Default,,,,,80,,ea,,$ 0.47,$ 37.35,
,SP HY D255SBHGSMANTBL,HYUNDAI D255S BOTTOM HOUSING WITH GSM ANTENNA BLUE,,,Default,,,,,170,,ea,,$ 0.47,$ 79.65,
,SP HY D255SBHGSMANTRD,HYUNDAI D255S BOTTOM HOUSING WITH GSM ANTENNA RED,,,Default,,,,,250,,ea,,$ 0.47,$ 117.00,
,SP HY D255SBTANT,HYUNDAI D255S BLUETOOTH ANTENNA,,,Default,,,,,500,,ea,,$ 0.01,$ 4.16,
,SP HY D255SCMLN,HYUNDAI D255S CAMERA LENS,,,Default,,,,,500,,ea,,$ 0.02,$ 7.80,
,SP HY D255SCW,HYUNDAI D255 SCREW,,,Default,,,,,"6,000",,ea,,$ 0.00,$ 19.08,
,SP HY D255SDM,HYUNDAI D255S DOME,,,Default,,,,,500,,ea,,$ 0.06,$ 28.70,
,SP HY D255SFC,HYUNDAI D255S FRONT CAMERA,,,Default,,,,,250,,ea,,$ 0.44,$ 110.00,
,SP HY D255SFHBK,HYUNDAI D255S FRONT HOUSING BLACK,,,Default,,,,,250,,ea,,$ 0.42,$ 104.00,
,SP HY D255SFHLB,HYUNDAI D255S FRONT HOUSING LIGHT BLUE,,,Default,,,,,80,,ea,,$ 0.41,$ 33.20,
,SP HY D255SFHWH,HYUNDAI D255S FRONT HOUSING WHITE,,,Default,,,,,170,,ea,,$ 0.42,$ 70.80,
,SP HY D255SKP,HYUNDAI D255S KEYPAD,,,Default,,,,,50,,ea,,$ 0.43,$ 21.50,
,SP HY D255SKPBK,HYUNDAI D255S KEYPAD BLACK,,,Default,,,,,280,,ea,,$ 0.45,$ 125.99,
,SP HY D255SKPWH,HYUNDAI D255S KEYPAD WHITE,,,Default,,,,,170,,ea,,$ 0.45,$ 76.11,
,SP HY D255SLCD,HYUNDAI D255S LCD,,,Default,,,,,500,,ea,,$ 1.10,$ 550.00,
,SP HY D255SLCDLN,HYUNDAI D255S LCD LENS,,,Default,,,,,500,,ea,,$ 0.16,$ 78.00,
,SP HY D255SLEDTCH,HYUNDAI D255S LED TORCH,,,Default,,,,,500,,ea,,$ 0.05,$ 26.00,
,SP HY D255SMNPCBA,HYUNDAI D255S MAIN PCBA,,,Default,,,,,250,,ea,,$ 3.19,$ 797.50,
,SP HY D255SPK,HYUNDAI D255 SPEAKER,,,Default,,,,,"1,000",,ea,,$ 0.27,$ 265.00,
,SP HY D255SPKCMHD,HYUNDAI D255 SPEAKER CAMERA HOLDER,,,Default,,,,,"1,000",,ea,,$ 0.05,$ 53.00,
,SP HY D255SRCV,HYUNDAI D255S RECEIVER,,,Default,,,,,500,,ea,,$ 0.08,$ 41.60,
,SP HY D255SSCW,HYUNDAI D255S SCREW,,,Default,,,,,"3,000",,ea,,$ 0.00,$ 9.36,
,SP HY D255SSPK,HYUNDAI D255S SPEAKER,,,Default,,,,,500,,ea,,$ 0.26,$ 130.00,
,SP HY D255SSPKCAMHD,HYUNDAI D255S SPEAKER CAMERA HOLDER,,,Default,,,,,500,,ea,,$ 0.05,$ 26.00,
,SP HY D275ANTSH2,HYUNDAI D275 ANTENNA SHRAPNEL.2,,,Default,,,,,420,,ea,,$ 0.04,$ 15.96,
,SP HY D275AWLB(PCBA),HYUNDAI D275 ANTI-WATER LABEL (PCBA),,,Default,,,,,420,,ea,,$ 0.01,$ 2.10,
,SP HY D275BAT,HYUNDAI D275 BATTERY,,,Default,,,,,695,,ea,,$ 1.03,$ 717.27,
,SP HY D275BATCVBK,HYUNDAI D275 BATTERY COVER BLACK,,,Default,,,,,220,,ea,,$ 0.17,$ 37.40,
,SP HY D275BATCVWH,HYUNDAI D275 BATTERY COVER WHITE,,,Default,,,,,200,,ea,,$ 0.17,$ 34.40,
,SP HY D275BHBK,HYUNDAI D275 BOTTOM HOUSING BLACK,,,Default,,,,,520,,ea,,$ 0.25,$ 130.80,
,SP HY D275BHWH,HYUNDAI D275 BOTTOM HOUSING WHITE,,,Default,,,,,320,,ea,,$ 0.30,$ 96.00,
,SP HY D275BTANT,HYUNDAI D275 BT ANTENNA,,,Default,,,,,420,,ea,,$ 0.01,$ 4.20,
,SP HY D275CDFB,HYUNDAI D275 CONDUCTIVE FABRIC,,,Default,,,,,620,,ea,,$ 0.03,$ 16.74,
,SP HY D275DANTSH2,HYUNDAI D275D ANTENNA SHARPNEL.2,,,Default,,,,,500,,ea,,$ 0.04,$ 18.00,
,SP HY D275DAWLB(PCBA),HYUNDAI D275D ANTI-WATER LABEL (PCBA),,,Default,,,,,350,,ea,,$ 0.01,$ 1.75,
,SP HY D275DBAT,HYUNDAI D275D BATTERY,,,Default,,,,,500,,ea,,$ 1.29,$ 646.00,
,SP HY D275DBATCVBK,HYUNDAI D275D BATTERY COVER BLACK,,,Default,,,,,250,,ea,,$ 0.17,$ 41.25,
,SP HY D275DBATCVWH,HYUNDAI D275D BATTERY COVER WHITE,,,Default,,,,,250,,ea,,$ 0.17,$ 42.50,
,SP HY D275DBHBK,HYUNDAI D275D BOTTOM HOUSING BLACK,,,Default,,,,,600,,ea,,$ 0.24,$ 147.00,
,SP HY D275DBHWH,HYUNDAI D275D BOTTOM HOUSING WHITE,,,Default,,,,,400,,ea,,$ 0.29,$ 116.00,
,SP HY D275DBTANT,HYUNDAI D275D BT ANTENNA,,,Default,,,,,500,,ea,,$ 0.03,$ 12.50,
,SP HY D275DCDFB,HYUNDAI D275D CONDUCTIVE FABRIC,,,Default,,,,,"1,000",,ea,,$ 0.01,$ 9.00,
,SP HY D275DDMKP,HYUNDAI D275D DOME FOR KEYPAD,,,Default,,,,,720,,ea,,$ 0.04,$ 30.68,
,SP HY D275DFC,HYUNDAI D275D FRONT CAMERA,,,Default,,,,,150,,ea,,$ 0.28,$ 41.25,
,SP HY D275DFHBK,HYUNDAI D275D FRONT HOUSING BLACK,,,Default,,,,,500,,ea,,$ 0.21,$ 103.00,
,SP HY D275DFHWH,HYUNDAI D275D FRONT HOUSING WHITE,,,Default,,,,,500,,ea,,$ 0.21,$ 103.50,
,SP HY D275DFPCSPNDL,HYUNDAI D275D FPC FOR SPINDLE,,,Default,,,,,500,,ea,,$ 1.15,$ 575.00,
,SP HY D275DIMPG,HYUNDAI D275D IMPACT PROOF PLUG,,,Default,,,,,400,,ea,,$ 0.03,$ 12.00,
,SP HY D275DINLB,HYUNDAI D275D INSULATION LABLE,,,Default,,,,,720,,ea,,$ 0.01,$ 4.20,
,SP HY D275DKPBK,HYUNDAI D275D KEYPAD BLACK,,,Default,,,,,350,,ea,,$ 0.77,$ 270.00,
,SP HY D275DKPWH,HYUNDAI D275D KEYPAD WHITE,,,Default,,,,,250,,ea,,$ 0.76,$ 190.00,
,SP HY D275DLCDAS,HYUNDAI D275D LCD ASSEMBLY,,,Default,,,,,500,,ea,,$ 1.05,$ 525.00,
,SP HY D275DLCDPLBK,HYUNDAI D275D LCD PROTECT LENS BLACK,,,Default,,,,,350,,ea,,$ 0.16,$ 56.00,
,SP HY D275DMG,HYUNDAI D275D MAGNET,,,Default,,,,,500,,ea,,$ 0.05,$ 25.00,
,SP HY D275DMIC,HYUNDAI D275D MICROPHONE,,,Default,,,,,300,,ea,,$ 0.05,$ 15.00,
,SP HY D275DMKP,HYUNDAI D275 DOME FOR KEYPAD,,,Default,,,,,200,,ea,,$ 0.04,$ 8.80,
,SP HY D275DMNPCBA,HYUNDAI D275D MAIN PCBA,,,Default,,,,,230,,ea,,$ 3.90,$ 897.46,
,SP HY D275DPCM,HYUNDAI D275D PRIMARY CAMERA (0.08MP),,,Default,,,,,100,,ea,,$ 0.25,$ 25.00,
,SP HY D275DPCPLNBK,HYUNDAI D275D PRIMARY CAMERA PROTECT LENS BLACK,,,Default,,,,,350,,ea,,$ 0.02,$ 6.65,
,SP HY D275DSBPCBA,HYUNDAI D275D SUB PCBA,,,Default,,,,,250,,ea,,$ 0.41,$ 102.50,
,SP HY D275DSCW(FH),HYUNDAI D275D SCREW (FLAT HEAD),,,Default,,,,,"2,000",,ea,,$ 0.01,$ 10.00,
,SP HY D275DSCW(RH),HYUNDAI D275D SCREW (ROUND HEAD),,,Default,,,,,"3,500",,ea,,$ 0.01,$ 17.50,
,SP HY D275DSCWLB,HYUNDAI D275D SCREW LABEL,,,Default,,,,,500,,ea,,$ 0.00,$ 1.25,
,SP HY D275DSPK,HYUNDAI D275D SPEAKER,,,Default,,,,,500,,ea,,$ 0.37,$ 185.00,
,SP HY D275DSPND,HYUNDAI D275D SPINDLE,,,Default,,,,,500,,ea,,$ 0.14,$ 70.00,
,SP HY D275DVIB,HYUNDAI D275D VIBRATOR,,,Default,,,,,500,,ea,,$ 0.26,$ 130.00,
,SP HY D275FC,HYUNDAI D275 FRONT CAMERA,,,Default,,,,,100,,ea,,$ 0.29,$ 29.00,
,SP HY D275FHBK,HYUNDAI D275 FRONT HOUSING BLACK,,,Default,,,,,420,,ea,,$ 0.21,$ 86.40,
,SP HY D275FHWH,HYUNDAI D275 FRONT HOUSING WHITE,,,Default,,,,,420,,ea,,$ 0.22,$ 92.60,
,SP HY D275FPCSPNDL,HYUNDAI D275 FPC FOR SPINDLE,,,Default,,,,,420,,ea,,$ 1.15,$ 483.00,
,SP HY D275IMPG,HYUNDAI D275 IMPACT PROOF PLUG,,,Default,,,,,420,,ea,,$ 0.03,$ 13.44,
,SP HY D275INLB,HYUNDAI D275 INSULATION LABLE,,,Default,,,,,200,,ea,,$ 0.01,$ 2.00,
,SP HY D275KPBK,HYUNDAI D275 KEYPAD BLACK,,,Default,,,,,100,,ea,,$ 0.80,$ 80.00,
,SP HY D275KPWH,HYUNDAI D275 KEYPAD WHITE,,,Default,,,,,220,,ea,,$ 0.80,$ 176.00,
,SP HY D275LCD,HYUNDAI D275 LCD,,,Default,,,,,"1,534",,ea,,$ 1.41,"$ 2,164.30",
,SP HY D275LCDAS,HYUNDAI D275 LCD ASSEMBLY,,,Default,,,,,220,,ea,,$ 1.05,$ 231.00,
,SP HY D275LCDPL,HYUNDAI D275 LCD PROTECT LENS,,,Default,,,,,420,,ea,,$ 0.16,$ 67.20,
,SP HY D275MG,HYUNDAI D275 MAGNET,,,Default,,,,,420,,ea,,$ 0.05,$ 21.00,
,SP HY D275MIC,HYUNDAI D275 MICROPHONE,,,Default,,,,,420,,ea,,$ 0.05,$ 21.84,
,SP HY D275PCBA,HYUNDAI D275 PCBA,,,Default,,,,,228,,ea,,$ 3.27,$ 746.40,
,SP HY D275PCM,HYUNDAI D275 PRIMARY CAMERA (0.8MP),,,Default,,,,,110,,ea,,$ 0.26,$ 28.60,
,SP HY D275PCPLN,HYUNDAI D275 PRIMARY CAMERA PROTECT LENS,,,Default,,,,,420,,ea,,$ 0.02,$ 7.98,
,SP HY D275SBPCBA,HYUNDAI D275 SUB PCBA,,,Default,,,,,210,,ea,,$ 0.44,$ 92.20,
,SP HY D275SCR(RH),HYUNDAI D275 SCREW (ROUND HEAD),,,Default,,,,,"2,940",,ea,,$ 0.01,$ 14.70,
,SP HY D275SCW(FH),HYUNDAI D275 SCREW (FLAT HEAD),,,Default,,,,,"1,680",,ea,,$ 0.01,$ 8.40,
,SP HY D275SCWLB,HYUNDAI D275 SCREW LABEL,,,Default,,,,,420,,ea,,$ 0.00,$ 1.05,
